name,url
PGL Major Antwerp 2022,https://www.hltv.org/stats/players/11893/zywoo?event=6372
PGL Major Antwerp 2022 Challengers Stage,https://www.hltv.org/stats/players/11893/zywoo?event=6384
PGL Major Antwerp 2022 Europe RMR A,https://www.hltv.org/stats/players/11893/zywoo?event=6381
Pinnacle Cup III,https://www.hltv.org/stats/players/11893/zywoo?event=6440
ESL Pro League Season 15,https://www.hltv.org/stats/players/11893/zywoo?event=6137
IEM Katowice 2022,https://www.hltv.org/stats/players/11893/zywoo?event=6136
BLAST Premier Spring Groups 2022,https://www.hltv.org/stats/players/11893/zywoo?event=6343
BLAST Premier World Final 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5608
IEM Winter 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5730
BLAST Premier Fall Final 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5607
PGL Major Stockholm 2021,https://www.hltv.org/stats/players/11893/zywoo?event=4866
IEM Fall 2021 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5729
BLAST Premier Fall Groups 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5605
ESL Pro League Season 14,https://www.hltv.org/stats/players/11893/zywoo?event=5554
IEM Cologne 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5469
IEM Cologne 2021 Play-in,https://www.hltv.org/stats/players/11893/zywoo?event=5898
IEM Summer 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5219
Flashpoint 3,https://www.hltv.org/stats/players/11893/zywoo?event=5864
DreamHack Masters Spring 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5728
BLAST Premier Spring Showdown 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5603
ESL Pro League Season 13,https://www.hltv.org/stats/players/11893/zywoo?event=5553
IEM Katowice 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5552
BLAST Premier Spring Groups 2021,https://www.hltv.org/stats/players/11893/zywoo?event=5602
BLAST Premier Global Final 2020,https://www.hltv.org/stats/players/11893/zywoo?event=5206
IEM Global Challenge 2020,https://www.hltv.org/stats/players/11893/zywoo?event=5528
BLAST Premier Fall 2020 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=5209
IEM Beijing-Haidian 2020 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5524
BLAST Premier Fall Series 2020,https://www.hltv.org/stats/players/11893/zywoo?event=5207
DreamHack Open Fall 2020,https://www.hltv.org/stats/players/11893/zywoo?event=5506
IEM New York 2020 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5463
ESL Pro League Season 12 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5372
ESL One Cologne 2020 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=4939
cs_summit 6 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5338
BLAST Premier Spring 2020 Europe Finals,https://www.hltv.org/stats/players/11893/zywoo?event=5202
BLAST Premier Spring 2020 Europe Showdown,https://www.hltv.org/stats/players/11893/zywoo?event=5205
DreamHack Masters Spring 2020 - Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5285
ESL One: Road to Rio - Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5277
ESL Pro League Season 11 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=5226
IEM Katowice 2020,https://www.hltv.org/stats/players/11893/zywoo?event=4901
BLAST Premier Spring Series 2020,https://www.hltv.org/stats/players/11893/zywoo?event=5138
EPICENTER 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4979
IEM Beijing 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4837
StarSeries i-League Season 8,https://www.hltv.org/stats/players/11893/zywoo?event=4932
ESL Pro League Season 10 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=4699
DreamHack Masters Malmö 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4553
StarLadder Major Berlin 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4443
StarLadder Major 2019 Challengers Stage,https://www.hltv.org/stats/players/11893/zywoo?event=4450
IEM Chicago 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4574
ESEA Season 31 Global Challenge,https://www.hltv.org/stats/players/11893/zywoo?event=4504
ESEA MDL Season 31 Europe Finals,https://www.hltv.org/stats/players/11893/zywoo?event=4692
ESL One Cologne 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4281
ECS Season 7 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=4411
DreamHack Masters Dallas 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4177
cs_summit 4,https://www.hltv.org/stats/players/11893/zywoo?event=4566
ESL One Cologne 2019 Europe Closed Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=4550
ESEA MDL Season 31 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=4501
ECS Season 7 Europe Week 3,https://www.hltv.org/stats/players/11893/zywoo?event=4414
Charleroi Esports,https://www.hltv.org/stats/players/11893/zywoo?event=4317
StarSeries i-League Season 7,https://www.hltv.org/stats/players/11893/zywoo?event=4240
ECS Season 7 Europe Week 2,https://www.hltv.org/stats/players/11893/zywoo?event=4413
ECS Season 7 Europe Pinnacle Cup,https://www.hltv.org/stats/players/11893/zywoo?event=4423
IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=3883
IEM Katowice 2019 Challengers Stage,https://www.hltv.org/stats/players/11893/zywoo?event=3884
WePlay! Lock and Load,https://www.hltv.org/stats/players/11893/zywoo?event=4349
Europe Minor - IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4208
ESEA MDL Season 30 Europe,https://www.hltv.org/stats/players/11893/zywoo?event=4287
ESEA MDL Season 29 Europe Relegation,https://www.hltv.org/stats/players/11893/zywoo?event=4227
WESG 2018 North-West Europe,https://www.hltv.org/stats/players/11893/zywoo?event=4294
Europe Minor Closed Qualifier - IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4125
LOOT.BET Cup #3 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=4221
StarSeries i-League Season 7 Europe Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=4291
Europe Minor Open Qualifier 4 - IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4124
DreamHack Open Atlanta 2018,https://www.hltv.org/stats/players/11893/zywoo?event=3429
WESG 2018 North-West Europe Qualifier 1,https://www.hltv.org/stats/players/11893/zywoo?event=4239
Europe Minor Open Qualifier 3 - IEM Katowice 2019,https://www.hltv.org/stats/players/11893/zywoo?event=4123
LOOT.BET Cup #3,https://www.hltv.org/stats/players/11893/zywoo?event=4203
DreamHack Open Winter 2018 Europe Open Qualifier,https://www.hltv.org/stats/players/11893/zywoo?event=4173
