event_id,location,event_url
5607,"Copenhagen, Denmark",https://www.hltv.org/events/5607/blast-premier-fall-final-2021
4866,"Stockholm, Sweden",https://www.hltv.org/events/4866/pgl-major-stockholm-2021
5729,"Stockholm, Sweden",https://www.hltv.org/events/5729/iem-fall-2021-europe
5469,"Cologne, Germany",https://www.hltv.org/events/5469/iem-cologne-2021
5898,"Cologne, Germany",https://www.hltv.org/events/5898/iem-cologne-2021-play-in
4901,"Katowice, Poland",https://www.hltv.org/events/4901/iem-katowice-2020
5138,"London, United Kingdom",https://www.hltv.org/events/5138/blast-premier-spring-series-2020
4979,"Moscow, Russia",https://www.hltv.org/events/4979/epicenter-2019
4837,"Beijing, China",https://www.hltv.org/events/4837/iem-beijing-2019
4932,"Belek, Turkey",https://www.hltv.org/events/4932/starseries-i-league-season-8
4699,"London, United Kingdom",https://www.hltv.org/events/4699/esl-pro-league-season-10-europe
4553,"Malmö, Sweden",https://www.hltv.org/events/4553/dreamhack-masters-malm-2019
4443,"Berlin, Germany",https://www.hltv.org/events/4443/starladder-major-berlin-2019
4450,"Berlin, Germany",https://www.hltv.org/events/4450/starladder-major-2019-challengers-stage
4574,"Chicago, Illinois, USA",https://www.hltv.org/events/4574/iem-chicago-2019
4504,"Dallas, Texas, USA",https://www.hltv.org/events/4504/esea-season-31-global-challenge
4692,"Dallas, Texas, USA",https://www.hltv.org/events/4692/esea-mdl-season-31-europe-finals
4281,"Cologne, Germany",https://www.hltv.org/events/4281/esl-one-cologne-2019
4411,"London, United Kingdom",https://www.hltv.org/events/4411/ecs-season-7-finals
4177,"Dallas, Texas, USA",https://www.hltv.org/events/4177/dreamhack-masters-dallas-2019
4566,"Los Angeles, California",https://www.hltv.org/events/4566/cs-summit-4
4317,"Charleroi, Belgium",https://www.hltv.org/events/4317/charleroi-esports
4240,"Shanghai, China",https://www.hltv.org/events/4240/starseries-i-league-season-7
3883,"Katowice, Poland",https://www.hltv.org/events/3883/iem-katowice-2019
3884,"Katowice, Poland",https://www.hltv.org/events/3884/iem-katowice-2019-challengers-stage
4208,"Katowice, Poland",https://www.hltv.org/events/4208/europe-minor-iem-katowice-2019
3429,"Atlanta, Georgia, USA",https://www.hltv.org/events/3429/dreamhack-open-atlanta-2018
4088,"London, United Kingdom",https://www.hltv.org/events/4088/faceit-major-2018-showmatch
3855,"Paris, France",https://www.hltv.org/events/3855/esl-national-championship-france-summer-2018
3448,"Paris, France",https://www.hltv.org/events/3448/esl-national-championship-france-winter-2017
3232,"Paris, France",https://www.hltv.org/events/3232/eswc-2017
2940,"Paris, France",https://www.hltv.org/events/2940/esl-national-championship-france-summer-2017
2707,"Champagne-au-Mont-d'Or, France",https://www.hltv.org/events/2707/epsilan-14
2689,"Saint-Amand-les-Eaux, France",https://www.hltv.org/events/2689/pasino-gaming-days-2017-by-lanex
