date,player_team,opponent,map,kd,plus_minus,rating,source_url
29/04/26,Vitality,FUT,nuke,23 - 12,+11,1.36,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8250
29/04/26,Vitality,FUT,d2,30 - 11,+19,1.78,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8250
29/04/26,Vitality,FUT,mrg,16 - 14,+2,0.92,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8250
19/04/26,Vitality,Spirit,d2,18 - 8,+10,1.62,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
19/04/26,Vitality,Spirit,nuke,20 - 12,+8,1.51,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
19/04/26,Vitality,Spirit,mrg,21 - 19,+2,1.16,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
18/04/26,Vitality,FURIA,anc,27 - 14,+13,1.57,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
18/04/26,Vitality,FURIA,ovp,22 - 13,+9,1.66,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
17/04/26,Vitality,Natus Vincere,d2,14 - 8,+6,1.44,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
17/04/26,Vitality,Natus Vincere,mrg,30 - 7,+23,2.53,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
15/04/26,Vitality,Falcons,nuke,19 - 19,0,0.85,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
15/04/26,Vitality,Falcons,d2,15 - 11,+4,0.98,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
15/04/26,Vitality,Falcons,mrg,19 - 16,+3,1.08,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
14/04/26,Vitality,G2,d2,13 - 14,-1,1.01,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
14/04/26,Vitality,G2,inf,29 - 15,+14,1.65,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
14/04/26,Vitality,G2,mrg,10 - 13,-3,1.00,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
13/04/26,Vitality,RED Canids,ovp,21 - 8,+13,1.86,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
13/04/26,Vitality,RED Canids,nuke,24 - 10,+14,2.34,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8242
29/03/26,Vitality,Natus Vincere,d2,16 - 8,+8,1.26,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
29/03/26,Vitality,Natus Vincere,anb,15 - 12,+3,1.04,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
29/03/26,Vitality,Natus Vincere,inf,16 - 12,+4,1.42,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
28/03/26,Vitality,Aurora,nuke,18 - 10,+8,1.83,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
28/03/26,Vitality,Aurora,inf,10 - 8,+2,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
23/03/26,Vitality,PARIVISION,inf,28 - 15,+13,1.67,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
23/03/26,Vitality,PARIVISION,mrg,17 - 11,+6,1.12,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
21/03/26,Vitality,The MongolZ,ovp,23 - 14,+9,1.42,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
21/03/26,Vitality,The MongolZ,mrg,19 - 9,+10,2.22,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
19/03/26,Vitality,9z,nuke,14 - 7,+7,1.57,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
19/03/26,Vitality,9z,ovp,23 - 8,+15,2.38,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8248
22/02/26,Vitality,PARIVISION,inf,20 - 19,+1,1.28,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
22/02/26,Vitality,PARIVISION,d2,12 - 5,+7,1.33,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
22/02/26,Vitality,PARIVISION,ovp,16 - 15,+1,1.07,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
21/02/26,Vitality,The MongolZ,d2,10 - 6,+4,1.34,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
21/02/26,Vitality,The MongolZ,mrg,26 - 16,+10,1.44,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
20/02/26,Vitality,Aurora,ovp,25 - 10,+15,1.86,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
20/02/26,Vitality,Aurora,inf,19 - 10,+9,1.46,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
16/02/26,Vitality,MOUZ,inf,22 - 12,+10,1.63,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
16/02/26,Vitality,MOUZ,d2,22 - 10,+12,2.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
15/02/26,Vitality,The MongolZ,nuke,12 - 10,+2,1.13,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
15/02/26,Vitality,The MongolZ,d2,11 - 5,+6,1.51,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
15/02/26,Vitality,The MongolZ,mrg,16 - 14,+2,1.06,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
14/02/26,Vitality,G2,anb,18 - 9,+9,1.47,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
14/02/26,Vitality,G2,inf,14 - 13,+1,0.91,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
14/02/26,Vitality,G2,mrg,21 - 13,+8,1.85,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8047
08/02/26,Vitality,FURIA,ovp,25 - 12,+13,1.52,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
08/02/26,Vitality,FURIA,nuke,17 - 6,+11,1.83,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8240
