event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
IEM Melbourne 2025,"Melbourne",8036,23/04/25,Vitality,Falcons,mrg,18 - 17,+1,0.99
IEM Melbourne 2025,"Melbourne",8036,22/04/25,Vitality,Liquid,nuke,13 - 16,-3,0.84
IEM Melbourne 2025,"Melbourne",8036,22/04/25,Vitality,Liquid,mrg,16 - 10,+6,1.69
IEM Melbourne 2025,"Melbourne",8036,21/04/25,Vitality,FlyQuest,nuke,17 - 12,+5,1.42
IEM Melbourne 2025,"Melbourne",8036,21/04/25,Vitality,FlyQuest,anb,10 - 10,0,1.35
BLAST Open Lisbon 2025,"Lisbon",7904,30/03/25,Vitality,MOUZ,trn,18 - 12,+6,1.48
BLAST Open Lisbon 2025,"Lisbon",7904,30/03/25,Vitality,MOUZ,nuke,21 - 13,+8,1.65
BLAST Open Lisbon 2025,"Lisbon",7904,30/03/25,Vitality,MOUZ,d2,19 - 12,+7,1.40
BLAST Open Lisbon 2025,"Lisbon",7904,30/03/25,Vitality,MOUZ,mrg,12 - 16,-4,0.86
BLAST Open Lisbon 2025,"Lisbon",7904,30/03/25,Vitality,MOUZ,inf,13 - 2,+11,2.57
BLAST Open Lisbon 2025,"Lisbon",7904,29/03/25,Vitality,Spirit,mrg,26 - 14,+12,1.75
BLAST Open Lisbon 2025,"Lisbon",7904,29/03/25,Vitality,Spirit,nuke,12 - 16,-4,1.08
BLAST Open Lisbon 2025,"Lisbon",7904,29/03/25,Vitality,Spirit,anb,15 - 11,+4,1.54
BLAST Open Lisbon 2025,"Copenhagen",7904,24/03/25,Vitality,MOUZ,d2,22 - 14,+8,1.76
BLAST Open Lisbon 2025,"Copenhagen",7904,24/03/25,Vitality,MOUZ,mrg,20 - 14,+6,1.36
BLAST Open Lisbon 2025,"Copenhagen",7904,21/03/25,Vitality,Virtus.pro,inf,17 - 12,+5,1.39
BLAST Open Lisbon 2025,"Copenhagen",7904,21/03/25,Vitality,Virtus.pro,anb,19 - 6,+13,1.97
BLAST Open Lisbon 2025,"Copenhagen",7904,19/03/25,Vitality,Astralis,d2,17 - 8,+9,1.57
BLAST Open Lisbon 2025,"Copenhagen",7904,19/03/25,Vitality,Astralis,inf,13 - 6,+7,1.47
ESL Pro League Season 21,"Stockholm",8292,16/03/25,Vitality,MOUZ,inf,16 - 8,+8,1.80
ESL Pro League Season 21,"Stockholm",8292,16/03/25,Vitality,MOUZ,nuke,17 - 11,+6,1.68
ESL Pro League Season 21,"Stockholm",8292,16/03/25,Vitality,MOUZ,d2,10 - 15,-5,0.77
ESL Pro League Season 21,"Stockholm",8292,15/03/25,Vitality,The MongolZ,inf,12 - 6,+6,1.40
ESL Pro League Season 21,"Stockholm",8292,15/03/25,Vitality,The MongolZ,nuke,25 - 18,+7,1.33
ESL Pro League Season 21,"Stockholm",8292,15/03/25,Vitality,The MongolZ,anb,17 - 6,+11,1.80
ESL Pro League Season 21,"Stockholm",8292,14/03/25,Vitality,Liquid,d2,20 - 11,+9,1.26
ESL Pro League Season 21,"Stockholm",8292,14/03/25,Vitality,Liquid,anb,18 - 13,+5,1.45
ESL Pro League Season 21,"Stockholm",8292,09/03/25,Vitality,MOUZ,d2,26 - 8,+18,2.38
ESL Pro League Season 21,"Stockholm",8292,09/03/25,Vitality,MOUZ,inf,17 - 10,+7,1.34
ESL Pro League Season 21,"Stockholm",8292,08/03/25,Vitality,3DMAX,d2,17 - 11,+6,1.32
ESL Pro League Season 21,"Stockholm",8292,08/03/25,Vitality,3DMAX,trn,21 - 11,+10,2.13
ESL Pro League Season 21,"Stockholm",8292,07/03/25,Vitality,MIBR,trn,17 - 12,+5,1.34
ESL Pro League Season 21,"Stockholm",8292,07/03/25,Vitality,MIBR,inf,19 - 6,+13,2.12
ESL Pro League Season 21,"Stockholm",8292,07/03/25,Vitality,MIBR,anb,9 - 14,-5,0.70
IEM Katowice 2025,"Katowice",8034,09/02/25,Vitality,Spirit,mrg,22 - 13,+9,1.26
IEM Katowice 2025,"Katowice",8034,09/02/25,Vitality,Spirit,nuke,26 - 6,+20,2.26
IEM Katowice 2025,"Katowice",8034,09/02/25,Vitality,Spirit,d2,19 - 10,+9,1.30
IEM Katowice 2025,"Katowice",8034,08/02/25,Vitality,The MongolZ,nuke,18 - 13,+5,1.42
IEM Katowice 2025,"Katowice",8034,08/02/25,Vitality,The MongolZ,mrg,23 - 10,+13,1.63
IEM Katowice 2025,"Katowice",8034,04/02/25,Vitality,Virtus.pro,inf,16 - 10,+6,1.34
IEM Katowice 2025,"Katowice",8034,04/02/25,Vitality,Virtus.pro,anb,16 - 9,+7,1.49
IEM Katowice 2025,"Katowice",8034,02/02/25,Vitality,FaZe,d2,37 - 23,+14,1.60
IEM Katowice 2025,"Katowice",8034,02/02/25,Vitality,FaZe,anb,17 - 15,+2,1.02
IEM Katowice 2025,"Katowice",8034,02/02/25,Vitality,FaZe,nuke,9 - 11,-2,0.93
IEM Katowice 2025,"Katowice",8034,01/02/25,Vitality,3DMAX,nuke,19 - 12,+7,1.25
IEM Katowice 2025,"Katowice",8034,01/02/25,Vitality,3DMAX,inf,26 - 23,+3,1.28
BLAST Bounty 2025 Season 1 Finals,"Copenhagen",7909,24/01/25,Vitality,Eternal Fire,mrg,20 - 17,+3,1.32
BLAST Bounty 2025 Season 1 Finals,"Copenhagen",7909,24/01/25,Vitality,Eternal Fire,anb,12 - 15,-3,0.80
Perfect World Shanghai Major 2024,"Shanghai",7524,13/12/24,Vitality,FaZe,anb,21 - 15,+6,1.53
Perfect World Shanghai Major 2024,"Shanghai",7524,13/12/24,Vitality,FaZe,mrg,12 - 12,0,0.94
Perfect World Shanghai Major 2024,"Shanghai",7524,13/12/24,Vitality,FaZe,nuke,15 - 7,+8,1.40
Perfect World Shanghai Major 2024,"Shanghai",7524,06/12/24,Vitality,MIBR,anb,14 - 9,+5,1.38
Perfect World Shanghai Major 2024,"Shanghai",7524,06/12/24,Vitality,MIBR,mrg,11 - 8,+3,1.38
Perfect World Shanghai Major 2024,"Shanghai",7524,05/12/24,Vitality,FURIA,mrg,24 - 11,+13,1.46
Perfect World Shanghai Major 2024,"Shanghai",7524,05/12/24,Vitality,GamerLegion,mrg,24 - 9,+15,1.90
Perfect World Shanghai Major 2024 Europe RMR A,"Shanghai",7864,18/11/24,Vitality,FaZe,d2,21 - 13,+8,1.53
Perfect World Shanghai Major 2024 Europe RMR A,"Shanghai",7864,18/11/24,Vitality,FaZe,mrg,15 - 10,+5,1.22
Perfect World Shanghai Major 2024 Europe RMR A,"Shanghai",7864,17/11/24,Vitality,BetBoom,nuke,10 - 10,0,0.83
Perfect World Shanghai Major 2024 Europe RMR A,"Shanghai",7864,17/11/24,Vitality,GamerLegion,inf,21 - 9,+12,1.82
BLAST Premier World Final 2024,"Sentosa",7557,02/11/24,Vitality,G2,mrg,13 - 14,-1,1.11
BLAST Premier World Final 2024,"Sentosa",7557,02/11/24,Vitality,G2,inf,15 - 11,+4,1.46
BLAST Premier World Final 2024,"Sentosa",7557,02/11/24,Vitality,G2,d2,21 - 16,+5,1.35
BLAST Premier World Final 2024,"Sentosa",7557,01/11/24,Vitality,MOUZ,mrg,15 - 9,+6,1.33
BLAST Premier World Final 2024,"Sentosa",7557,01/11/24,Vitality,MOUZ,d2,19 - 9,+10,1.57
BLAST Premier World Final 2024,"Sentosa",7557,31/10/24,Vitality,Liquid,nuke,23 - 11,+12,1.74
BLAST Premier World Final 2024,"Sentosa",7557,31/10/24,Vitality,Liquid,d2,7 - 7,0,1.04
BLAST Premier World Final 2024,"Sentosa",7557,31/10/24,Vitality,Liquid,anb,23 - 13,+10,1.66
BLAST Premier World Final 2024,"Sentosa",7557,30/10/24,Vitality,Spirit,mrg,22 - 17,+5,1.36
BLAST Premier World Final 2024,"Sentosa",7557,30/10/24,Vitality,Spirit,anb,17 - 15,+2,1.41
IEM Rio 2024,"Rio de Janeiro",7439,11/10/24,Vitality,MOUZ,inf,15 - 15,0,1.08
IEM Rio 2024,"Rio de Janeiro",7439,11/10/24,Vitality,MOUZ,nuke,23 - 14,+9,1.18
IEM Rio 2024,"Rio de Janeiro",7439,11/10/24,Vitality,MOUZ,mrg,19 - 10,+9,1.48
IEM Rio 2024,"Rio de Janeiro",7439,09/10/24,Vitality,HEROIC,anb,11 - 12,-1,1.01
IEM Rio 2024,"Rio de Janeiro",7439,09/10/24,Vitality,HEROIC,mrg,17 - 15,+2,1.14
IEM Rio 2024,"Rio de Janeiro",7439,08/10/24,Vitality,The MongolZ,nuke,28 - 11,+17,2.22
IEM Rio 2024,"Rio de Janeiro",7439,08/10/24,Vitality,The MongolZ,inf,41 - 18,+23,1.90
IEM Rio 2024,"Rio de Janeiro",7439,07/10/24,Vitality,9z,mrg,12 - 8,+4,1.80
BLAST Premier Fall Final 2024,"Copenhagen",7556,28/09/24,Vitality,G2,mrg,27 - 22,+5,1.37
BLAST Premier Fall Final 2024,"Copenhagen",7556,28/09/24,Vitality,G2,d2,11 - 13,-2,0.90
BLAST Premier Fall Final 2024,"Copenhagen",7556,28/09/24,Vitality,G2,anb,19 - 15,+4,1.22
BLAST Premier Fall Final 2024,"Copenhagen",7556,26/09/24,Vitality,Liquid,nuke,22 - 11,+11,1.72
BLAST Premier Fall Final 2024,"Copenhagen",7556,26/09/24,Vitality,Liquid,anb,27 - 15,+12,1.57
BLAST Premier Fall Final 2024,"Copenhagen",7556,25/09/24,Vitality,Astralis,d2,16 - 8,+8,1.57
BLAST Premier Fall Final 2024,"Copenhagen",7556,25/09/24,Vitality,Astralis,inf,15 - 3,+12,2.27
ESL Pro League Season 20,"Valletta",7441,19/09/24,Vitality,Eternal Fire,inf,37 - 27,+10,1.40
ESL Pro League Season 20,"Valletta",7441,19/09/24,Vitality,Eternal Fire,nuke,18 - 10,+8,1.43
ESL Pro League Season 20,"Valletta",7441,19/09/24,Vitality,Eternal Fire,anb,30 - 18,+12,1.54
ESL Pro League Season 20,"Valletta",7441,15/09/24,Vitality,Liquid,d2,13 - 14,-1,1.14
ESL Pro League Season 20,"Valletta",7441,15/09/24,Vitality,Liquid,nuke,21 - 8,+13,1.90
ESL Pro League Season 20,"Valletta",7441,15/09/24,Vitality,Liquid,anb,12 - 16,-4,0.94
ESL Pro League Season 20,"Valletta",7441,12/09/24,Vitality,FURIA,d2,16 - 6,+10,1.87
ESL Pro League Season 20,"Valletta",7441,12/09/24,Vitality,FURIA,vtg,15 - 11,+4,1.40
ESL Pro League Season 20,"Valletta",7441,11/09/24,Vitality,ATOX,nuke,21 - 13,+8,1.54
ESL Pro League Season 20,"Valletta",7441,11/09/24,Vitality,ATOX,inf,23 - 15,+8,1.41
IEM Cologne 2024,"Cologne",7436,18/08/24,Vitality,Natus Vincere,inf,21 - 14,+7,1.67
IEM Cologne 2024,"Cologne",7436,18/08/24,Vitality,Natus Vincere,mrg,36 - 27,+9,1.32
IEM Cologne 2024,"Cologne",7436,18/08/24,Vitality,Natus Vincere,d2,22 - 15,+7,1.60
IEM Cologne 2024,"Cologne",7436,18/08/24,Vitality,Natus Vincere,nuke,21 - 22,-1,1.10
IEM Cologne 2024,"Cologne",7436,17/08/24,Vitality,SAW,d2,21 - 8,+13,1.66
IEM Cologne 2024,"Cologne",7436,17/08/24,Vitality,SAW,nuke,14 - 10,+4,1.33
IEM Cologne 2024,"Cologne",7436,13/08/24,Vitality,MOUZ,vtg,17 - 17,0,0.92
IEM Cologne 2024,"Cologne",7436,13/08/24,Vitality,MOUZ,d2,21 - 8,+13,1.94
IEM Cologne 2024,"Cologne",7436,12/08/24,Vitality,FaZe,anb,14 - 12,+2,0.81
IEM Cologne 2024,"Cologne",7436,12/08/24,Vitality,FaZe,d2,16 - 17,-1,0.94
IEM Cologne 2024,"Cologne",7436,12/08/24,Vitality,FaZe,inf,13 - 15,-2,0.93
IEM Cologne 2024,"Cologne",7436,11/08/24,Vitality,FURIA,mrg,14 - 6,+8,1.69
IEM Cologne 2024,"Cologne",7436,11/08/24,Vitality,FURIA,inf,18 - 4,+14,2.03
BLAST Premier Fall Groups 2024,"Copenhagen",7554,03/08/24,Vitality,Astralis,nuke,24 - 9,+15,1.95
BLAST Premier Fall Groups 2024,"Copenhagen",7554,03/08/24,Vitality,Astralis,mrg,20 - 13,+7,1.32
BLAST Premier Fall Groups 2024,"Copenhagen",7554,03/08/24,Vitality,Astralis,vtg,22 - 15,+7,1.43
BLAST Premier Fall Groups 2024,"Copenhagen",7554,30/07/24,Vitality,Astralis,d2,13 - 16,-3,0.79
BLAST Premier Fall Groups 2024,"Copenhagen",7554,30/07/24,Vitality,Astralis,nuke,14 - 13,+1,1.30
BLAST Premier Fall Groups 2024,"Copenhagen",7554,29/07/24,Vitality,GamerLegion,d2,25 - 6,+19,2.14
BLAST Premier Fall Groups 2024,"Copenhagen",7554,29/07/24,Vitality,GamerLegion,mrg,20 - 25,-5,0.96
BLAST Premier Fall Groups 2024,"Copenhagen",7554,29/07/24,Vitality,GamerLegion,anb,22 - 18,+4,1.14
Esports World Cup 2024,"Riyadh",7732,19/07/24,Vitality,Virtus.pro,d2,13 - 15,-2,1.09
Esports World Cup 2024,"Riyadh",7732,19/07/24,Vitality,Virtus.pro,inf,20 - 15,+5,1.61
Esports World Cup 2024,"Riyadh",7732,19/07/24,Vitality,Virtus.pro,mrg,37 - 31,+6,1.26
Esports World Cup 2024,"Riyadh",7732,17/07/24,Vitality,M80,d2,19 - 10,+9,1.69
Esports World Cup 2024,"Riyadh",7732,17/07/24,Vitality,M80,vtg,24 - 11,+13,1.51
BLAST Premier Spring Final 2024,"London",7485,15/06/24,Vitality,Spirit,anb,15 - 15,0,1.17
BLAST Premier Spring Final 2024,"London",7485,15/06/24,Vitality,Spirit,d2,16 - 15,+1,1.00
BLAST Premier Spring Final 2024,"London",7485,15/06/24,Vitality,Spirit,mrg,23 - 15,+8,1.34
BLAST Premier Spring Final 2024,"London",7485,14/06/24,Vitality,FaZe,mrg,19 - 12,+7,1.72
BLAST Premier Spring Final 2024,"London",7485,14/06/24,Vitality,FaZe,d2,14 - 15,-1,0.96
BLAST Premier Spring Final 2024,"London",7485,14/06/24,Vitality,FaZe,inf,15 - 13,+2,1.16
BLAST Premier Spring Final 2024,"London",7485,13/06/24,Vitality,G2,mrg,15 - 9,+6,1.41
BLAST Premier Spring Final 2024,"London",7485,13/06/24,Vitality,G2,anb,21 - 14,+7,1.39
BLAST Premier Spring Final 2024,"London",7485,13/06/24,Vitality,G2,inf,14 - 8,+6,1.28
BLAST Premier Spring Final 2024,"London",7485,12/06/24,Vitality,Virtus.pro,anb,14 - 16,-2,0.99
BLAST Premier Spring Final 2024,"London",7485,12/06/24,Vitality,Virtus.pro,d2,25 - 16,+9,1.32
BLAST Premier Spring Final 2024,"London",7485,12/06/24,Vitality,Virtus.pro,inf,19 - 8,+11,1.69
IEM Dallas 2024,"Dallas",7438,02/06/24,Vitality,G2,nuke,9 - 16,-7,0.56
IEM Dallas 2024,"Dallas",7438,02/06/24,Vitality,G2,anb,22 - 20,+2,1.07
IEM Dallas 2024,"Dallas",7438,02/06/24,Vitality,G2,inf,35 - 23,+12,1.38
IEM Dallas 2024,"Dallas",7438,01/06/24,Vitality,Spirit,mrg,22 - 14,+8,1.54
IEM Dallas 2024,"Dallas",7438,01/06/24,Vitality,Spirit,d2,22 - 10,+12,1.56
IEM Dallas 2024,"Dallas",7438,31/05/24,Vitality,HEROIC,d2,16 - 4,+12,2.02
IEM Dallas 2024,"Dallas",7438,31/05/24,Vitality,HEROIC,nuke,14 - 13,+1,0.94
IEM Dallas 2024,"Dallas",7438,29/05/24,Vitality,9z,anb,28 - 21,+7,1.76
IEM Dallas 2024,"Dallas",7438,29/05/24,Vitality,9z,d2,12 - 14,-2,0.80
IEM Dallas 2024,"Dallas",7438,28/05/24,Vitality,G2,anb,11 - 11,0,1.06
IEM Dallas 2024,"Dallas",7438,28/05/24,Vitality,G2,d2,17 - 10,+7,1.17
IEM Dallas 2024,"Dallas",7438,27/05/24,Vitality,Monte,nuke,26 - 20,+6,1.66
ESL Pro League Season 19,"Valletta",7440,12/05/24,Vitality,MOUZ,nuke,12 - 15,-3,1.15
ESL Pro League Season 19,"Valletta",7440,12/05/24,Vitality,MOUZ,mrg,14 - 14,0,1.09
ESL Pro League Season 19,"Valletta",7440,12/05/24,Vitality,MOUZ,inf,15 - 16,-1,1.06
ESL Pro League Season 19,"Valletta",7440,11/05/24,Vitality,Astralis,inf,24 - 12,+12,1.68
ESL Pro League Season 19,"Valletta",7440,11/05/24,Vitality,Astralis,vtg,28 - 17,+11,1.45
ESL Pro League Season 19,"Valletta",7440,11/05/24,Vitality,Astralis,mrg,18 - 15,+3,1.14
ESL Pro League Season 19,"Valletta",7440,10/05/24,Vitality,FaZe,vtg,30 - 15,+15,2.29
ESL Pro League Season 19,"Valletta",7440,10/05/24,Vitality,FaZe,nuke,24 - 6,+18,2.69
ESL Pro League Season 19,"Valletta",7440,28/04/24,Vitality,The MongolZ,nuke,18 - 11,+7,1.62
ESL Pro League Season 19,"Valletta",7440,28/04/24,Vitality,The MongolZ,mrg,30 - 12,+18,2.03
ESL Pro League Season 19,"Valletta",7440,25/04/24,Vitality,BetBoom,anb,28 - 12,+16,2.09
ESL Pro League Season 19,"Valletta",7440,25/04/24,Vitality,BetBoom,mrg,22 - 6,+16,2.22
ESL Pro League Season 19,"Valletta",7440,23/04/24,Vitality,Sharks,mrg,12 - 8,+4,1.32
ESL Pro League Season 19,"Valletta",7440,23/04/24,Vitality,Sharks,vtg,16 - 12,+4,1.33
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,30/03/24,Vitality,FaZe,inf,16 - 15,+1,1.05
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,30/03/24,Vitality,FaZe,vtg,14 - 9,+5,1.69
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,30/03/24,Vitality,FaZe,nuke,8 - 16,-8,0.82
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,28/03/24,Vitality,Cloud9,anb,10 - 8,+2,1.53
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,28/03/24,Vitality,Cloud9,inf,16 - 7,+9,1.25
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,23/03/24,Vitality,Complexity,anb,8 - 17,-9,0.60
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,23/03/24,Vitality,Complexity,vtg,16 - 13,+3,1.06
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,23/03/24,Vitality,Complexity,inf,26 - 22,+4,1.14
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,22/03/24,Vitality,Imperial,ovp,14 - 13,+1,1.21
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,21/03/24,Vitality,The MongolZ,nuke,17 - 14,+3,1.14
PGL CS2 Major Copenhagen 2024,"Copenhagen",7148,21/03/24,Vitality,Eternal Fire,inf,17 - 15,+2,1.34
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,21/02/24,Vitality,ENCE,nuke,12 - 10,+2,1.36
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,21/02/24,Vitality,ENCE,vtg,22 - 10,+12,1.70
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,20/02/24,Vitality,Cloud9,anb,13 - 15,-2,1.00
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,20/02/24,Vitality,Cloud9,inf,14 - 12,+2,1.16
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,20/02/24,Vitality,Cloud9,ovp,19 - 13,+6,1.50
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,19/02/24,Vitality,HEROIC,ovp,25 - 6,+19,2.18
PGL CS2 Major Copenhagen 2024 Europe RMR B,"Bucharest",7577,19/02/24,Vitality,GamerLegion,nuke,24 - 4,+20,3.08
IEM Katowice 2024,"Katowice",7435,05/02/24,Vitality,HEROIC,vtg,21 - 16,+5,1.20
IEM Katowice 2024,"Katowice",7435,05/02/24,Vitality,HEROIC,anb,19 - 14,+5,1.21
IEM Katowice 2024,"Katowice",7435,05/02/24,Vitality,HEROIC,mrg,20 - 20,0,1.07
IEM Katowice 2024,"Katowice",7435,03/02/24,Vitality,ENCE,nuke,19 - 14,+5,1.47
IEM Katowice 2024,"Katowice",7435,03/02/24,Vitality,ENCE,anb,13 - 9,+4,1.63
IEM Katowice 2024,"Katowice",7435,03/02/24,Vitality,ENCE,vtg,13 - 14,-1,1.02
BLAST Premier Spring Groups 2024,"Copenhagen",7552,27/01/24,Vitality,Astralis,nuke,22 - 7,+15,2.02
BLAST Premier Spring Groups 2024,"Copenhagen",7552,27/01/24,Vitality,Astralis,mrg,30 - 18,+12,1.71
BLAST Premier Spring Groups 2024,"Copenhagen",7552,27/01/24,Vitality,Astralis,inf,13 - 14,-1,0.98
BLAST Premier Spring Groups 2024,"Copenhagen",7552,26/01/24,Vitality,Falcons,anb,19 - 12,+7,1.27
BLAST Premier Spring Groups 2024,"Copenhagen",7552,26/01/24,Vitality,Falcons,vtg,24 - 11,+13,2.07
BLAST Premier Spring Groups 2024,"Copenhagen",7552,26/01/24,Vitality,Falcons,nuke,31 - 25,+6,1.25
BLAST Premier Spring Groups 2024,"Copenhagen",7552,23/01/24,Vitality,Astralis,ovp,17 - 13,+4,1.78
BLAST Premier Spring Groups 2024,"Copenhagen",7552,23/01/24,Vitality,Astralis,vtg,23 - 8,+15,2.18
BLAST Premier Spring Groups 2024,"Copenhagen",7552,23/01/24,Vitality,Astralis,mrg,17 - 13,+4,1.08
BLAST Premier Spring Groups 2024,"Copenhagen",7552,22/01/24,Vitality,OG,inf,16 - 12,+4,1.10
BLAST Premier Spring Groups 2024,"Copenhagen",7552,22/01/24,Vitality,OG,mrg,17 - 4,+13,2.21
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,17/12/23,Vitality,FaZe,nuke,21 - 10,+11,2.20
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,17/12/23,Vitality,FaZe,inf,17 - 9,+8,1.67
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,16/12/23,Vitality,Natus Vincere,inf,18 - 12,+6,1.38
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,16/12/23,Vitality,Natus Vincere,anb,17 - 6,+11,1.53
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,14/12/23,Vitality,Cloud9,inf,20 - 8,+12,1.64
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,14/12/23,Vitality,Cloud9,anb,18 - 13,+5,0.93
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,13/12/23,Vitality,Natus Vincere,ovp,14 - 10,+4,1.32
BLAST Premier World Final 2023,"Abu Dhabi, UAE",6976,13/12/23,Vitality,Natus Vincere,anb,14 - 16,-2,0.89
BLAST Premier Fall Final 2023,"Copenhagen",6975,26/11/23,Vitality,FaZe,nuke,21 - 13,+8,1.28
BLAST Premier Fall Final 2023,"Copenhagen",6975,26/11/23,Vitality,FaZe,vtg,10 - 8,+2,1.12
BLAST Premier Fall Final 2023,"Copenhagen",6975,25/11/23,Vitality,Cloud9,inf,21 - 15,+6,1.11
BLAST Premier Fall Final 2023,"Copenhagen",6975,25/11/23,Vitality,Cloud9,nuke,15 - 13,+2,1.16
BLAST Premier Fall Final 2023,"Copenhagen",6975,25/11/23,Vitality,Cloud9,mrg,26 - 14,+12,1.43
BLAST Premier Fall Final 2023,"Copenhagen",6975,23/11/23,Vitality,Complexity,inf,24 - 10,+14,2.44
BLAST Premier Fall Final 2023,"Copenhagen",6975,23/11/23,Vitality,Complexity,nuke,24 - 21,+3,1.12
BLAST Premier Fall Final 2023,"Copenhagen",6975,23/11/23,Vitality,Complexity,anb,14 - 5,+9,2.01
BLAST Premier Fall Final 2023,"Copenhagen",6975,22/11/23,Vitality,HEROIC,inf,15 - 10,+5,1.25
BLAST Premier Fall Final 2023,"Copenhagen",6975,22/11/23,Vitality,HEROIC,nuke,10 - 11,-1,0.96
IEM Sydney 2023,"Sydney",6865,16/10/23,Vitality,FaZe,nuke,18 - 18,0,1.17
IEM Sydney 2023,"Sydney",6865,16/10/23,Vitality,FaZe,inf,20 - 15,+5,1.18
IEM Sydney 2023,"Sydney",6865,16/10/23,Vitality,FaZe,ovp,21 - 21,0,0.96
IEM Sydney 2023,"Sydney",6865,16/10/23,Vitality,BetBoom,mrg,22 - 22,0,0.98
ESL Pro League Season 18,"Valletta",6863,28/09/23,Vitality,Monte,nuke,27 - 24,+3,1.24
ESL Pro League Season 18,"Valletta",6863,28/09/23,Vitality,Monte,anb,19 - 18,+1,1.02
ESL Pro League Season 18,"Valletta",6863,03/09/23,Vitality,Movistar Riders,inf,25 - 12,+13,1.54
ESL Pro League Season 18,"Valletta",6863,03/09/23,Vitality,Movistar Riders,ovp,23 - 17,+6,1.29
ESL Pro League Season 18,"Valletta",6863,31/08/23,Vitality,Ninjas in Pyjamas,nuke,21 - 14,+7,1.25
ESL Pro League Season 18,"Valletta",6863,31/08/23,Vitality,Ninjas in Pyjamas,mrg,14 - 7,+7,1.47
ESL Pro League Season 18,"Valletta",6863,30/08/23,Vitality,ORKS,nuke,12 - 12,0,1.08
ESL Pro League Season 18,"Valletta",6863,30/08/23,Vitality,ORKS,mrg,28 - 12,+16,1.70
Gamers8 2023,"Riyadh",7128,20/08/23,Vitality,ENCE,nuke,22 - 13,+9,1.56
Gamers8 2023,"Riyadh",7128,20/08/23,Vitality,ENCE,mrg,28 - 17,+11,1.35
Gamers8 2023,"Riyadh",7128,20/08/23,Vitality,ENCE,anb,16 - 14,+2,1.12
Gamers8 2023,"Riyadh",7128,19/08/23,Vitality,G2,mrg,26 - 19,+7,1.25
Gamers8 2023,"Riyadh",7128,19/08/23,Vitality,G2,anb,18 - 19,-1,1.12
Gamers8 2023,"Riyadh",7128,19/08/23,Vitality,G2,inf,15 - 13,+2,1.00
Gamers8 2023,"Riyadh",7128,17/08/23,Vitality,Natus Vincere,nuke,20 - 16,+4,1.21
Gamers8 2023,"Riyadh",7128,17/08/23,Vitality,Natus Vincere,mrg,9 - 8,+1,0.98
Gamers8 2023,"Riyadh",7128,16/08/23,Vitality,MIBR,inf,21 - 11,+10,1.50
Gamers8 2023,"Riyadh",7128,16/08/23,Vitality,MIBR,anb,21 - 10,+11,1.58
IEM Cologne 2023,"Cologne",6811,05/08/23,Vitality,ENCE,vtg,11 - 19,-8,0.61
IEM Cologne 2023,"Cologne",6811,05/08/23,Vitality,ENCE,nuke,24 - 16,+8,1.29
IEM Cologne 2023,"Cologne",6811,05/08/23,Vitality,ENCE,mrg,23 - 21,+2,1.13
IEM Cologne 2023,"Cologne",6811,04/08/23,Vitality,Cloud9,inf,35 - 20,+15,1.60
IEM Cologne 2023,"Cologne",6811,04/08/23,Vitality,Cloud9,mrg,21 - 15,+6,1.28
IEM Cologne 2023,"Cologne",6811,01/08/23,Vitality,G2,mrg,16 - 16,0,1.03
IEM Cologne 2023,"Cologne",6811,01/08/23,Vitality,G2,vtg,16 - 17,-1,1.12
IEM Cologne 2023,"Cologne",6811,01/08/23,Vitality,G2,inf,22 - 19,+3,1.16
IEM Cologne 2023,"Cologne",6811,31/07/23,Vitality,MOUZ,mrg,16 - 11,+5,1.52
IEM Cologne 2023,"Cologne",6811,31/07/23,Vitality,MOUZ,inf,22 - 10,+12,1.90
IEM Cologne 2023,"Cologne",6811,30/07/23,Vitality,OG,anb,22 - 17,+5,1.23
IEM Cologne 2023,"Cologne",6811,30/07/23,Vitality,OG,mrg,17 - 8,+9,1.36
