event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
IEM Rio 2026,"Rio de Janeiro",8242,17/04/26,Vitality,Natus Vincere,mrg,30 - 7,+23,2.53
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,nuke,19 - 19,0,0.85
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,d2,15 - 11,+4,0.98
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,mrg,19 - 16,+3,1.08
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,d2,13 - 14,-1,1.01
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,inf,29 - 15,+14,1.65
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,mrg,10 - 13,-3,1.00
IEM Rio 2026,"Rio de Janeiro",8242,13/04/26,Vitality,RED Canids,ovp,21 - 8,+13,1.86
IEM Rio 2026,"Rio de Janeiro",8242,13/04/26,Vitality,RED Canids,nuke,24 - 10,+14,2.34
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,d2,16 - 8,+8,1.26
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,anb,15 - 12,+3,1.04
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,inf,16 - 12,+4,1.42
BLAST Open Rotterdam 2026,"Rotterdam",8248,28/03/26,Vitality,Aurora,nuke,18 - 10,+8,1.83
BLAST Open Rotterdam 2026,"Rotterdam",8248,28/03/26,Vitality,Aurora,inf,10 - 8,+2,1.03
BLAST Open Rotterdam 2026,"Rotterdam",8248,23/03/26,Vitality,PARIVISION,inf,28 - 15,+13,1.67
BLAST Open Rotterdam 2026,"Copenhagen",8248,23/03/26,Vitality,PARIVISION,mrg,17 - 11,+6,1.12
BLAST Open Rotterdam 2026,"Copenhagen",8248,21/03/26,Vitality,The MongolZ,ovp,23 - 14,+9,1.42
BLAST Open Rotterdam 2026,"Copenhagen",8248,21/03/26,Vitality,The MongolZ,mrg,19 - 9,+10,2.22
BLAST Open Rotterdam 2026,"Copenhagen",8248,19/03/26,Vitality,9z,nuke,14 - 7,+7,1.57
BLAST Open Rotterdam 2026,"Copenhagen",8248,19/03/26,Vitality,9z,ovp,23 - 8,+15,2.38
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,22/02/26,Vitality,PARIVISION,inf,20 - 19,+1,1.28
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,22/02/26,Vitality,PARIVISION,d2,12 - 5,+7,1.33
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,22/02/26,Vitality,PARIVISION,ovp,16 - 15,+1,1.07
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,21/02/26,Vitality,The MongolZ,d2,10 - 6,+4,1.34
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,21/02/26,Vitality,The MongolZ,mrg,26 - 16,+10,1.44
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,20/02/26,Vitality,Aurora,ovp,25 - 10,+15,1.86
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,20/02/26,Vitality,Aurora,inf,19 - 10,+9,1.46
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,16/02/26,Vitality,MOUZ,inf,22 - 12,+10,1.63
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,16/02/26,Vitality,MOUZ,d2,22 - 10,+12,2.03
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,15/02/26,Vitality,The MongolZ,nuke,12 - 10,+2,1.13
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,15/02/26,Vitality,The MongolZ,d2,11 - 5,+6,1.51
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,15/02/26,Vitality,The MongolZ,mrg,16 - 14,+2,1.06
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,14/02/26,Vitality,G2,anb,18 - 9,+9,1.47
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,14/02/26,Vitality,G2,inf,14 - 13,+1,0.91
PGL Cluj-Napoca 2026,"Cluj-Napoca",8047,14/02/26,Vitality,G2,mrg,21 - 13,+8,1.85
IEM Kraków 2026,"Kraków",8240,08/02/26,Vitality,FURIA,ovp,25 - 12,+13,1.52
IEM Kraków 2026,"Kraków",8240,08/02/26,Vitality,FURIA,nuke,17 - 6,+11,1.83
IEM Kraków 2026,"Kraków",8240,08/02/26,Vitality,FURIA,inf,27 - 10,+17,2.22
IEM Kraków 2026,"Kraków",8240,08/02/26,Vitality,FURIA,mrg,21 - 13,+8,1.28
IEM Kraków 2026,"Kraków",8240,07/02/26,Vitality,MOUZ,d2,18 - 8,+10,1.70
IEM Kraków 2026,"Kraków",8240,07/02/26,Vitality,MOUZ,nuke,22 - 11,+11,1.68
IEM Kraków 2026,"Kraków",8240,03/02/26,Vitality,Aurora,ovp,23 - 10,+13,2.10
IEM Kraków 2026,"Kraków",8240,03/02/26,Vitality,Aurora,anc,53 - 26,+27,1.65
IEM Kraków 2026,"Kraków",8240,02/02/26,Vitality,3DMAX,d2,19 - 8,+11,1.81
IEM Kraków 2026,"Kraków",8240,02/02/26,Vitality,3DMAX,inf,18 - 10,+8,1.41
IEM Kraków 2026,"Kraków",8240,31/01/26,Vitality,BC.Game,ovp,15 - 8,+7,1.26
IEM Kraków 2026,"Kraków",8240,31/01/26,Vitality,BC.Game,d2,14 - 10,+4,1.03
