event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2,weather_code,temperature_2m_max,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,apparent_temperature_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,temperature_2m_min,temperature_2m_mean,elevation
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,mrg,5 - 15,-10,0.56,Msida Station,243.0,,27.9,,,138.0,31.1,0.841,3.0,18.35,16.364113,11.2759905,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,36755.707,35267.727,0.0,0.0,0.0,0.0,27.900581,53.28,191.39085,12.24,2.7799997,13.719829,47.166668,100.0,1.0,8.55,12.35,10.868749,2.7799997,70.4981,76.44087,65.453735,0.0,1008.39166,1010.2,1005.1,1002.57904,1004.4058,999.33185,40.454998,19.365578,27.72,11.919479,12.845982,14.345863,10.591492,0.71047854,13.85,16.260416,49.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-19,Vitality,Astralis,d2,17 - 8,9,1.57,"""Copenhagen/1259""",167.0,,4.86,,76.9,,,,2.0,8.1,5.4939404,-2.5846984,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,43668.695,41249.54,0.0,0.0,0.0,0.0,16.056362,38.16,249.03905,13.83,1.5220851,1.119727,8.708333,74.0,0.0,-1.0,4.25,1.5229164,1.5220851,80.617744,89.133446,68.49869,0.0,1026.0167,1027.1,1024.7,1024.2516,1025.3402,1022.9475,24.974998,11.262537,13.679999,6.4096174,2.800437,5.604599,0.4712224,0.34094858,1.6,4.6270833,14.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-19,Vitality,Astralis,inf,13 - 6,7,1.47,"""Copenhagen/1259""",167.0,,4.86,,76.9,,,,2.0,8.1,5.4939404,-2.5846984,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,43668.695,41249.54,0.0,0.0,0.0,0.0,16.056362,38.16,249.03905,13.83,1.5220851,1.119727,8.708333,74.0,0.0,-1.0,4.25,1.5229164,1.5220851,80.617744,89.133446,68.49869,0.0,1026.0167,1027.1,1024.7,1024.2516,1025.3402,1022.9475,24.974998,11.262537,13.679999,6.4096174,2.800437,5.604599,0.4712224,0.34094858,1.6,4.6270833,14.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-21,Vitality,Virtus.pro,anb,19 - 6,13,1.97,"""Copenhagen/1259""",165.0,,6.76,,79.3,,,,0.0,9.9,5.856039,-2.9435747,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,44227.727,42321.07,0.0,0.0,0.0,0.0,26.239285,48.6,78.96792,15.03,2.0413516,0.5603271,0.5833333,10.0,0.0,-2.7,2.15,-0.41041672,2.0413516,68.306206,80.95483,55.494152,0.0,1024.1875,1025.5,1022.1,1022.4284,1023.73456,1020.3367,32.564995,15.8276,19.8,10.233123,2.1659172,5.7198925,-0.3447032,0.5438482,1.85,5.0354166,14.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-21,Vitality,Virtus.pro,inf,17 - 12,5,1.39,"""Copenhagen/1259""",165.0,,6.76,,79.3,,,,0.0,9.9,5.856039,-2.9435747,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,44227.727,42321.07,0.0,0.0,0.0,0.0,26.239285,48.6,78.96792,15.03,2.0413516,0.5603271,0.5833333,10.0,0.0,-2.7,2.15,-0.41041672,2.0413516,68.306206,80.95483,55.494152,0.0,1024.1875,1025.5,1022.1,1022.4284,1023.73456,1020.3367,32.564995,15.8276,19.8,10.233123,2.1659172,5.7198925,-0.3447032,0.5438482,1.85,5.0354166,14.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-24,Vitality,MOUZ,d2,22 - 14,8,1.76,"""Copenhagen/1259""",74.5,,9.44,,38.0,,,,3.0,8.1,6.5001097,-0.02618885,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45061.785,39670.06,0.0,0.0,0.0,0.0,18.584509,38.519997,136.59106,15.22,1.7008862,2.1697588,32.041668,97.0,0.0,1.45,5.3,2.885417,1.7008862,84.41891,90.93321,78.40315,0.0,1013.66656,1015.3,1011.8,1011.9274,1013.5506,1010.0547,23.91,10.53699,14.04,1.8792552,3.8108194,6.337737,2.3127737,0.22012603,3.65,5.3208337,14.0
BLAST Open Lisbon 2025,Copenhagen,2025-03-24,Vitality,MOUZ,mrg,20 - 14,6,1.36,"""Copenhagen/1259""",74.5,,9.44,,38.0,,,,3.0,8.1,6.5001097,-0.02618885,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45061.785,39670.06,0.0,0.0,0.0,0.0,18.584509,38.519997,136.59106,15.22,1.7008862,2.1697588,32.041668,97.0,0.0,1.45,5.3,2.885417,1.7008862,84.41891,90.93321,78.40315,0.0,1013.66656,1015.3,1011.8,1011.9274,1013.5506,1010.0547,23.91,10.53699,14.04,1.8792552,3.8108194,6.337737,2.3127737,0.22012603,3.65,5.3208337,14.0
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,anb,15 - 11,4,1.54,Alfragide/Amadora,,,,,,,,3.3,0.0,22.5,23.199476,9.590897,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45092.23,43374.305,0.0,0.0,0.0,0.0,14.037692,27.0,21.031248,22.8,4.0110536,15.04646,1.0416666,17.0,0.0,8.75,12.4,10.6625,4.0110536,72.28092,89.984314,51.27617,0.0,1020.71246,1022.9,1018.8,1019.86865,1022.0569,1017.9689,22.89,10.258419,10.440001,5.4744864,12.653623,16.1524,9.512579,1.3276417,10.65,16.016668,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,mrg,26 - 14,12,1.75,Alfragide/Amadora,,,,,,,,3.3,0.0,22.5,23.199476,9.590897,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45092.23,43374.305,0.0,0.0,0.0,0.0,14.037692,27.0,21.031248,22.8,4.0110536,15.04646,1.0416666,17.0,0.0,8.75,12.4,10.6625,4.0110536,72.28092,89.984314,51.27617,0.0,1020.71246,1022.9,1018.8,1019.86865,1022.0569,1017.9689,22.89,10.258419,10.440001,5.4744864,12.653623,16.1524,9.512579,1.3276417,10.65,16.016668,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,nuke,12 - 16,-4,1.08,Alfragide/Amadora,,,,,,,,3.3,0.0,22.5,23.199476,9.590897,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45092.23,43374.305,0.0,0.0,0.0,0.0,14.037692,27.0,21.031248,22.8,4.0110536,15.04646,1.0416666,17.0,0.0,8.75,12.4,10.6625,4.0110536,72.28092,89.984314,51.27617,0.0,1020.71246,1022.9,1018.8,1019.86865,1022.0569,1017.9689,22.89,10.258419,10.440001,5.4744864,12.653623,16.1524,9.512579,1.3276417,10.65,16.016668,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,d2,19 - 12,7,1.4,Alfragide/Amadora,,,,,,,,3.3,0.0,23.6,22.133915,9.140017,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45241.668,43680.79,0.0,0.0,0.0,0.0,16.674063,37.44,51.620945,23.02,4.5957775,14.89969,0.0,0.0,0.0,5.15,10.75,7.662499,4.5957775,55.682423,70.326675,30.568407,0.0,1018.44586,1020.0,1017.1,1017.6069,1019.1564,1016.2667,27.525,12.454342,10.08,5.414979,11.614521,14.910986,8.645438,2.0053327,12.4,17.008337,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,inf,13 - 2,11,2.57,Alfragide/Amadora,,,,,,,,3.3,0.0,23.6,22.133915,9.140017,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45241.668,43680.79,0.0,0.0,0.0,0.0,16.674063,37.44,51.620945,23.02,4.5957775,14.89969,0.0,0.0,0.0,5.15,10.75,7.662499,4.5957775,55.682423,70.326675,30.568407,0.0,1018.44586,1020.0,1017.1,1017.6069,1019.1564,1016.2667,27.525,12.454342,10.08,5.414979,11.614521,14.910986,8.645438,2.0053327,12.4,17.008337,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,mrg,12 - 16,-4,0.86,Alfragide/Amadora,,,,,,,,3.3,0.0,23.6,22.133915,9.140017,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45241.668,43680.79,0.0,0.0,0.0,0.0,16.674063,37.44,51.620945,23.02,4.5957775,14.89969,0.0,0.0,0.0,5.15,10.75,7.662499,4.5957775,55.682423,70.326675,30.568407,0.0,1018.44586,1020.0,1017.1,1017.6069,1019.1564,1016.2667,27.525,12.454342,10.08,5.414979,11.614521,14.910986,8.645438,2.0053327,12.4,17.008337,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,nuke,21 - 13,8,1.65,Alfragide/Amadora,,,,,,,,3.3,0.0,23.6,22.133915,9.140017,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45241.668,43680.79,0.0,0.0,0.0,0.0,16.674063,37.44,51.620945,23.02,4.5957775,14.89969,0.0,0.0,0.0,5.15,10.75,7.662499,4.5957775,55.682423,70.326675,30.568407,0.0,1018.44586,1020.0,1017.1,1017.6069,1019.1564,1016.2667,27.525,12.454342,10.08,5.414979,11.614521,14.910986,8.645438,2.0053327,12.4,17.008337,7.0
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,trn,18 - 12,6,1.48,Alfragide/Amadora,,,,,,,,3.3,0.0,23.6,22.133915,9.140017,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,45241.668,43680.79,0.0,0.0,0.0,0.0,16.674063,37.44,51.620945,23.02,4.5957775,14.89969,0.0,0.0,0.0,5.15,10.75,7.662499,4.5957775,55.682423,70.326675,30.568407,0.0,1018.44586,1020.0,1017.1,1017.6069,1019.1564,1016.2667,27.525,12.454342,10.08,5.414979,11.614521,14.910986,8.645438,2.0053327,12.4,17.008337,7.0
BLAST Open London 2025 Finals,London,2025-09-06,Vitality,MOUZ,inf,19 - 12,7,1.56,Westminster - Marylebone Road,133.0,,36.0,,30.0,20.2,8.13,1.68,3.0,22.0,20.63632,13.070547,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,47647.36,40268.91,0.0,0.0,0.0,0.0,17.571909,42.48,133.90187,17.3,3.3367877,16.932386,82.75,100.0,2.0,10.7,14.4,12.316666,3.3367877,72.315315,90.33747,49.640694,0.0,1018.21674,1022.6,1012.8,1016.305,1020.65857,1010.90027,25.08,10.765826,7.92,4.323748,14.281138,15.834105,12.0781765,1.3238451,13.3,17.714584,16.0
BLAST Open London 2025 Finals,London,2025-09-06,Vitality,MOUZ,mrg,16 - 9,7,1.32,Westminster - Marylebone Road,133.0,,36.0,,30.0,20.2,8.13,1.68,3.0,22.0,20.63632,13.070547,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,47647.36,40268.91,0.0,0.0,0.0,0.0,17.571909,42.48,133.90187,17.3,3.3367877,16.932386,82.75,100.0,2.0,10.7,14.4,12.316666,3.3367877,72.315315,90.33747,49.640694,0.0,1018.21674,1022.6,1012.8,1016.305,1020.65857,1010.90027,25.08,10.765826,7.92,4.323748,14.281138,15.834105,12.0781765,1.3238451,13.3,17.714584,16.0
