event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating,datetime_from,datetime_to
BLAST Rivals 2026 Season 1,Fort Worth,8250,03/05/26,Vitality,Natus Vincere,d2,19 - 9,+10,2.18,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,03/05/26,Vitality,Natus Vincere,anb,17 - 19,-2,0.98,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,03/05/26,Vitality,Natus Vincere,nuke,18 - 17,+1,1.20,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,02/05/26,Vitality,GamerLegion,ovp,21 - 18,+3,1.09,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,02/05/26,Vitality,GamerLegion,mrg,21 - 3,+18,2.12,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,30/04/26,Vitality,G2,d2,18 - 9,+9,1.96,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,30/04/26,Vitality,G2,ovp,18 - 15,+3,1.16,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,30/04/26,Vitality,G2,mrg,20 - 18,+2,1.22,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,29/04/26,Vitality,FUT,nuke,23 - 12,+11,1.36,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,29/04/26,Vitality,FUT,d2,30 - 11,+19,1.78,2026-04-29T00:00:00,2026-05-04T00:00:00
BLAST Rivals 2026 Season 1,Fort Worth,8250,29/04/26,Vitality,FUT,mrg,16 - 14,+2,0.92,2026-04-29T00:00:00,2026-05-04T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,19/04/26,Vitality,Spirit,d2,18 - 8,+10,1.62,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,19/04/26,Vitality,Spirit,nuke,20 - 12,+8,1.51,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,19/04/26,Vitality,Spirit,mrg,21 - 19,+2,1.16,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,18/04/26,Vitality,FURIA,anc,27 - 14,+13,1.57,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,18/04/26,Vitality,FURIA,ovp,22 - 13,+9,1.66,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,17/04/26,Vitality,Natus Vincere,d2,14 - 8,+6,1.44,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,17/04/26,Vitality,Natus Vincere,mrg,30 - 7,+23,2.53,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,15/04/26,Vitality,Falcons,nuke,19 - 19,0,0.85,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,15/04/26,Vitality,Falcons,d2,15 - 11,+4,0.98,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,15/04/26,Vitality,Falcons,mrg,19 - 16,+3,1.08,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,14/04/26,Vitality,G2,d2,13 - 14,-1,1.01,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,14/04/26,Vitality,G2,inf,29 - 15,+14,1.65,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,14/04/26,Vitality,G2,mrg,10 - 13,-3,1.00,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,13/04/26,Vitality,RED Canids,ovp,21 - 8,+13,1.86,2026-04-13T00:00:00,2026-04-20T00:00:00
IEM Rio 2026,Rio de Janeiro,8242,13/04/26,Vitality,RED Canids,nuke,24 - 10,+14,2.34,2026-04-13T00:00:00,2026-04-20T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,29/03/26,Vitality,Natus Vincere,d2,16 - 8,+8,1.26,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,29/03/26,Vitality,Natus Vincere,anb,15 - 12,+3,1.04,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,29/03/26,Vitality,Natus Vincere,inf,16 - 12,+4,1.42,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,28/03/26,Vitality,Aurora,nuke,18 - 10,+8,1.83,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,28/03/26,Vitality,Aurora,inf,10 - 8,+2,1.03,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Rotterdam,8248,23/03/26,Vitality,PARIVISION,inf,28 - 15,+13,1.67,2026-03-23T00:00:00,2026-03-30T00:00:00
BLAST Open Rotterdam 2026,Copenhagen,8248,23/03/26,Vitality,PARIVISION,mrg,17 - 11,+6,1.12,2026-03-19T00:00:00,2026-03-24T00:00:00
BLAST Open Rotterdam 2026,Copenhagen,8248,21/03/26,Vitality,The MongolZ,ovp,23 - 14,+9,1.42,2026-03-19T00:00:00,2026-03-24T00:00:00
BLAST Open Rotterdam 2026,Copenhagen,8248,21/03/26,Vitality,The MongolZ,mrg,19 - 9,+10,2.22,2026-03-19T00:00:00,2026-03-24T00:00:00
BLAST Open Rotterdam 2026,Copenhagen,8248,19/03/26,Vitality,9z,nuke,14 - 7,+7,1.57,2026-03-19T00:00:00,2026-03-24T00:00:00
BLAST Open Rotterdam 2026,Copenhagen,8248,19/03/26,Vitality,9z,ovp,23 - 8,+15,2.38,2026-03-19T00:00:00,2026-03-24T00:00:00
